,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
115,16,"August 24, 2003",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",9722
119,2,"June 1, 2004",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",3098
127,10,"July 20, 2004",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",11338
140,6,"June 25, 2005",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",7007
148,14,"August 12, 2005",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",5120
165,14,"July 29, 2006",New York Liberty,Regular season,Time Warner Cable Arena,"Charlotte, NC",6310
8,8,"July 7, 2006",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",3375
11,11,"July 25, 2006",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",3435
21,4,"June 15, 2007",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",3236
33,16,"August 14, 2007",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",5443
49,15,"September 12, 2008",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",5681
58,7,"July 22, 2009",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",5881
64,13,"August 28, 2009",New York Liberty,Regular season,UIC Pavilion,"Chicago, IL",3707
71,3,"June 8, 2010",New York Liberty,Regular season,Allstate Arena,"Chicago, IL",2408
80,12,"July 23, 2010",New York Liberty,Regular season,Allstate Arena,"Chicago, IL",5256
86,1,"June 17, 2011",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5718
100,15,"August 28, 2011",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5707
109,7,"July 6, 2012",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",4211
113,11,"August 21, 2012",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",3638
122,3,"June 26, 2013",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",8911
126,7,"July 20, 2013",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",6037
131,12,"August 23, 2013",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5888
144,7,"June 18, 2014",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",6716
150,13,"July 31, 2014",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",6043
159,2,"June 30, 2015",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5048
168,11,"August 7, 2015",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5992
183,7,"July 8, 2016",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5633
192,16,"September 16, 2016",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",7295
206,10,"July 30, 2017",New York Liberty,Regular season,Allstate Arena,"Rosemont, IL",5834
213,0,"May 20, 2018",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",7922
221,8,"July 1, 2018",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",5382
238,8,"July 12, 2019",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",7221
241,11,"August 7, 2019",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",5797
248,0,"May 23, 2021",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",1332
268,1,"May 11, 2022",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",4935
280,13,"July 29, 2022",New York Liberty,Regular season,Wintrust Arena,"Chicago, IL",6924
285,18,"August 17, 2022",New York Liberty,First Round,Wintrust Arena,"Chicago, IL",7524
286,19,"August 20, 2022",New York Liberty,First Round,Wintrust Arena,"Chicago, IL",7732
5,5,"July 14, 1997",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",6749
13,13,"August 23, 1997",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",13766
14,0,"June 11, 1998",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",17911
21,7,"July 16, 1998",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",10326
37,6,"July 8, 1999",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",8018
46,15,"August 21, 1999",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",11460
54,7,"July 3, 2000",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",9646
65,18,"August 17, 2000",New York Liberty,Eastern Conference Finals,Quicken Loans Arena,"Cleveland, OH",11686
67,1,"June 7, 2001",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",8706
75,9,"July 19, 2001",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",10121
88,4,"June 21, 2002",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",9061
101,1,"May 31, 2003",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",7317
114,14,"August 17, 2003",New York Liberty,Regular season,Quicken Loans Arena,"Cleveland, OH",9462
